---------- KRW-BTC ---------
------- 3 -------
KRW-XRP 1.1084574083746812
---------- KRW-ETC ---------
------- 3 -------
0.1 1.018928
0.2 1.003085
0.3 0.987706
0.4 0.972769
0.5 0.958256
0.6 1.000000
0.7 1.000000
0.8 1.000000
0.9 1.000000
high k
0.1 1.018928
------- 4 -------
0.1 0.950041
0.2 0.922904
0.3 0.896879
0.4 0.871907
0.5 0.847932
0.6 0.873699
0.7 1.000000
0.8 1.000000
0.9 1.000000
high k
0.7 1.000000
------- 5 -------
0.1 0.950041
0.2 0.922904
0.3 0.896879
0.4 0.871907
0.5 0.847932
0.6 0.873699
0.7 1.000000
0.8 1.000000
0.9 1.000000
high k
0.7 1.000000
------- 6 -------
0.1 0.874255
0.2 0.825479
0.3 0.896879
0.4 0.871907
0.5 0.847932
0.6 0.873699
0.7 1.000000
0.8 1.000000
0.9 1.000000
high k
0.7 1.000000
------- 7 -------
0.1 0.797929
0.2 0.744963
0.3 0.800412
0.4 0.769572
0.5 0.740264
0.6 0.754536
0.7 0.854388
0.8 0.845350
0.9 0.836491
high k
0.7 0.854388

KRW-ETC 1.0
---------- KRW-OMG ---------
------- 3 -------
0.1 1.049388
0.2 1.033579
0.3 1.018219
0.4 1.003288
0.5 0.988769
0.6 0.974645
0.7 0.960900
0.8 1.000000
0.9 1.000000
high k
0.1 1.049388
------- 4 -------
0.1 1.020068
0.2 0.993909
0.3 0.968722
0.4 0.944458
0.5 0.921074
0.6 0.898527
0.7 0.876777
0.8 0.903190
0.9 0.894102
high k
0.1 1.020068
------- 5 -------
0.1 1.020068
0.2 0.993909
0.3 0.968722
0.4 0.944458
0.5 0.921074
0.6 0.898527
0.7 0.876777
0.8 0.903190
0.9 0.894102
high k
0.1 1.020068
------- 6 -------
0.1 0.912768
0.2 0.993909
0.3 0.968722
0.4 0.944458
0.5 0.921074
0.6 0.898527
0.7 0.876777
0.8 0.903190
0.9 0.894102
high k
0.2 0.993909
------- 7 -------
0.1 0.701218
